Date/Time,PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),EMS:Weighted Average Building PPD [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 06/22  11:30:00,24.3171728154331,22.5991274542581,23.1182794803844,22.9339581262062,21.6030678007383,22.6263423196159,5.5042582245308,8706.96381428801 
 06/22  11:45:00,24.7878830781943,22.8636886029881,23.1607805360314,23.2153744494935,21.6934162542872,22.9835408784879,5.44507225319318,8333.72010823254 
 06/22  12:00:00,25.1767329517146,23.2584153225805,23.2428843444481,23.6332696840856,21.8182491549856,23.5646739820788,5.87683666545903,8266.79183061945 
 06/22  12:15:00,25.4360214930023,23.4466122920881,23.186018141412,23.7121766948772,21.88371558784,23.709571368624,6.18362013608639,8369.35990238375 
 06/22  12:30:00,25.6201367300221,23.5305591085727,23.11020333184,23.7176734921461,21.9409622973579,23.7176432522612,6.83095744598513,8438.64218061966 
 06/22  12:45:00,25.7752228620247,23.5998662212677,23.0470755675109,23.7187040129555,21.9943701112601,23.7189294499534,7.12745641500912,8492.69568753076 
 06/22  13:00:00,25.9132861516049,23.6704004551754,22.9958790350373,23.7189504029497,22.0631001090239,23.7193801408488,7.25448542292932,8558.83674285152 
 06/22  13:15:00,25.6180918093994,22.6050711424464,22.5794690356135,22.6082807439565,22.1579536296664,22.648553668989,7.34581372474521,9581.71839657481 
 06/22  13:30:00,25.5683359231435,22.5641765634107,22.5648826667339,22.5642103723988,22.2914137730431,22.5649994208997,7.42404936123777,9462.31263056124 
 06/22  13:45:00,25.5370718881522,22.5650038715637,22.5655125864592,22.5650121079346,22.4233153265514,22.5661187916067,5.99960998381118,9525.65060992773 
 06/22  14:00:00,25.5732228340937,22.564616287218,22.5653185400082,22.5645974493314,22.5381154017995,22.5656143070838,5.94819544634666,9615.19891746147 
 06/22  14:15:00,25.9746055976823,23.2664363541961,22.6669871029612,23.3427587644461,22.7927920760876,23.2818530639756,5.9797939699282,8997.91387513097 
 06/22  14:30:00,26.3642150011537,23.7367141935448,22.720402009603,23.8650569547554,23.065147082971,23.9137653458774,6.05055019467541,8517.06721755647 
 06/22  14:45:00,26.6097749809689,23.9082303214373,22.7348663502575,24.0415599907539,23.3270080639439,24.1704362160061,7.03973414452856,8420.97737976792 
 06/22  15:00:00,26.7592416208037,23.9730718983298,22.73639341619,24.0888082160046,23.5880246211316,24.2278518523539,8.12026220734826,8411.16353386821 
 06/22  15:15:00,24.9687285957613,21.3368879062715,20.6699598770106,21.5193992978495,20.849538847951,22.1071393552225,8.83903158990287,11876.4770152021 
 06/22  15:30:00,23.9333690611228,20.7248324647159,20.4990422493452,20.8579916824426,20.5201922180088,21.3041222261638,9.31900651407645,14084.4091930043 
 06/22  15:45:00,23.6084804742436,20.5665219159055,20.4937364743995,20.6465159914631,20.4986285318526,21.0298524459143,5.26398030056532,14297.3919387091 
 06/22  16:00:00,23.4173300771842,20.4984729632051,20.492699597041,20.5055729837328,20.4934900276022,20.7718351577636,5.13249490919129,13734.4490977337 
 06/22  16:15:00,23.3246090855052,20.4746156234084,20.4743167516348,20.4762906396883,20.4768030600239,20.6034636828476,5.23765634124732,13066.4293551809 
 06/22  16:30:00,23.2389725235379,20.4681222989192,20.4690670827503,20.4685557632949,20.4704337714348,20.5185829159622,5.39582245252603,12455.371038469 
 06/22  16:45:00,23.1573048741665,20.4664609254496,20.4676576089003,20.4665693925911,20.4683287999778,20.477592283642,5.54672373110229,11865.9477410214 
 06/22  17:00:00,23.08458562933,20.4660687655662,20.4673018621582,20.4661001175437,20.4676658462242,20.4687124613856,5.66636582679813,11412.9901612545 
 06/22  17:15:00,23.9110165122163,21.590879763941,21.3042486570458,21.5920326215893,21.7022635055017,21.5806269787801,5.76117785798348,9825.24950417021 
 06/22  17:30:00,24.2195039985888,21.7877445908557,21.5116561370229,21.7882967792948,21.7881407007139,21.7895612289275,5.83424117550837,8818.41062570045 
 06/22  17:45:00,24.2929098980658,21.8002119179914,21.5822235429321,21.8002495586801,21.8008654895236,21.8009354721606,5.28803687398458,8773.98170351008 
 06/22  18:00:00,24.2712207421806,21.8009208478445,21.5915789688376,21.8009353282691,21.8024354491537,21.8018134773543,5.26303379192107,8695.43102629319 
 06/22  18:15:00,23.9216835096644,21.0827417766692,20.3620046279801,21.005132502134,21.8385670660507,21.1185780337026,0.0,8038.30576762246 
 06/22  18:30:00,23.5695732117682,20.6788298654219,20.0296241558413,20.6616278114868,21.6488257432157,20.7935211057788,0.0,7436.67740816646 
 06/22  18:45:00,23.2434487438194,20.2659176601083,20.0030614303711,20.2791357847195,21.3466345147824,20.4290051050258,0.0,7133.30008071431 
 06/22  19:00:00,22.9650704455724,20.0484787908997,20.0007384070664,20.062196087396,20.990458948154,20.2816059207202,0.0,6921.75444762097 
 06/22  19:15:00,22.7042848617808,20.0024645947829,20.0001073824667,20.0029741298098,20.5541418097407,20.1312115058373,0.0,6762.51241077875 
 06/22  19:30:00,22.4516413631691,20.0009541177987,19.9998982046201,20.0000945081093,20.0652254531989,20.013646976666,0.0,6627.0428975178 
 06/22  19:45:00,22.2202665420062,20.0010044205988,20.0021516952137,20.0006934381302,20.0037021021048,20.0003618869668,0.0,6522.61555606036 
 06/22  20:00:00,22.0301066785306,19.9990834584615,20.0032515375034,19.9992438176498,19.9998996717808,20.0010805325581,0.0,6436.91481064439 
 06/22  20:15:00,22.4080820908213,20.2980824289091,20.2924648190382,20.2729649193531,20.8336433676292,20.4187858194416,0.0,0.0 
 06/22  20:30:00,22.5959807868116,20.3745395518919,20.3670725291381,20.3425869367034,21.0373613164314,20.5874077355339,0.0,0.0 
 06/22  20:45:00,22.6117873719964,20.3829940129631,20.3789658412688,20.3496994488841,21.0583016222102,20.6886428199711,0.0,0.0 
 06/22  21:00:00,22.4959000535601,20.3557600115348,20.3591592683618,20.3238493334844,20.9956705808995,20.746027586404,0.0,0.0 
 06/22  21:15:00,22.3334334801603,20.3161092743699,20.3274783334659,20.2864127701393,20.9030961439989,20.7682043494173,0.0,0.0 
 06/22  21:30:00,22.1662992573198,20.2739614144067,20.2924888993033,20.2466146149626,20.8056862394391,20.7679832867542,0.0,0.0 
 06/22  21:45:00,22.0012451868525,20.2317333981196,20.2562395349032,20.2065288357616,20.7111774301345,20.7560802164067,0.0,0.0 
 06/22  22:00:00,21.8369935002871,20.1892961028906,20.2192221893611,20.1662255943699,20.6205702313084,20.7381577696496,0.0,0.0 
 06/22  22:15:00,21.6740289332863,20.1442180482692,20.1799061422346,20.123604096839,20.5328328582119,20.7164525751766,0.0,0.0 
 06/22  22:30:00,21.5139385063803,20.0973676638684,20.1392274624807,20.0795569924952,20.4487789432474,20.6919233502086,0.0,0.0 
 06/22  22:45:00,21.3576534098097,20.0501412018133,20.0981789660536,20.035275785752,20.3691497900273,20.6652784333154,0.0,0.0 
 06/22  23:00:00,21.2052853046812,20.0030786571159,20.0570624766656,19.9911704482459,20.2939214072389,20.6371591069836,0.0,0.0 
 06/22  23:15:00,21.0569295639274,19.962504844234,20.0204017318834,19.9529808097764,20.2273651409254,20.6081130082643,0.0,0.0 
 06/22  23:30:00,20.9125271537263,19.9273917782763,19.9878420193853,19.9202528864169,20.168443745652,20.5786264114006,0.0,0.0 
 06/22  23:45:00,20.7721808688624,19.8952589457316,19.9574081081486,19.8903671193255,20.1150748556928,20.5491229635276,0.0,0.0 
 06/22  24:00:00,20.6362451503022,19.865167628161,19.9289217927253,19.8626456761332,20.0663392889092,20.5283248791063,0.0,0.0 
